hp_key,train_frac,f1,f1_std,acc,acc_std,auc,auc_std
"{'M': 41, 'distance': 'ip', 'ef': 25, 'ef_construction': 317, 'k': 15, 'num.impute.selected.cpo': 'impute.hist'}",0.05,6.171465e-05,3.8078742e-05,0.25441375,0.046539642,0.7280908,0.039469674
"{'M': 41, 'distance': 'ip', 'ef': 25, 'ef_construction': 317, 'k': 15, 'num.impute.selected.cpo': 'impute.hist'}",0.25,0.00016967356,4.900577e-05,0.1563978,0.0114189265,0.6467959,0.028977484
"{'M': 41, 'distance': 'ip', 'ef': 25, 'ef_construction': 317, 'k': 15, 'num.impute.selected.cpo': 'impute.hist'}",0.5,6.998777e-05,1.3047048e-05,0.1541724,0.016497992,0.6459772,0.024042109
"{'M': 41, 'distance': 'ip', 'ef': 25, 'ef_construction': 317, 'k': 15, 'num.impute.selected.cpo': 'impute.hist'}",0.75,3.1146406e-05,4.2867396e-06,0.16857806,0.010237527,0.6630273,0.01573253
"{'M': 41, 'distance': 'ip', 'ef': 25, 'ef_construction': 317, 'k': 15, 'num.impute.selected.cpo': 'impute.hist'}",1.0,7.504225e-05,8.823108e-06,0.09318694,0.0014922564,0.55138284,0.019617736
"{'M': 45, 'distance': 'l2', 'ef': 26, 'ef_construction': 13, 'k': 20, 'num.impute.selected.cpo': 'impute.median'}",0.05,4.4107438e-07,3.1051675e-07,0.13215269,0.014102263,0.5706233,0.013150548
"{'M': 45, 'distance': 'l2', 'ef': 26, 'ef_construction': 13, 'k': 20, 'num.impute.selected.cpo': 'impute.median'}",0.25,0.00019048751,0.000101876845,0.23121879,0.02528736,0.64435905,0.015441863
"{'M': 45, 'distance': 'l2', 'ef': 26, 'ef_construction': 13, 'k': 20, 'num.impute.selected.cpo': 'impute.median'}",0.5,0.00015769302,8.232614e-05,0.22029714,0.024370626,0.6271657,0.020008616
"{'M': 45, 'distance': 'l2', 'ef': 26, 'ef_construction': 13, 'k': 20, 'num.impute.selected.cpo': 'impute.median'}",0.75,1.2129545e-05,5.6415724e-06,0.20524743,0.016015256,0.6121156,0.008161254
"{'M': 45, 'distance': 'l2', 'ef': 26, 'ef_construction': 13, 'k': 20, 'num.impute.selected.cpo': 'impute.median'}",1.0,3.606081e-07,1.1499991e-07,0.28815946,0.005622185,0.73836,0.025073212
