hp_key,train_frac,f1,f1_std,acc,acc_std,auc,auc_std
"{'alpha': 0.7004371218578347, 's': 0.10526188266248665, 'num.impute.selected.cpo': 'impute.hist'}",0.05,3.5762787e-07,2.4719765e-07,0.38298452,0.009237947,0.6373099,0.0061316
"{'alpha': 0.7004371218578347, 's': 0.10526188266248665, 'num.impute.selected.cpo': 'impute.hist'}",0.25,2.9802323e-09,8.940696e-09,0.38987762,0.0040524923,0.645902,0.009069105
"{'alpha': 0.7004371218578347, 's': 0.10526188266248665, 'num.impute.selected.cpo': 'impute.hist'}",0.5,1.0728836e-07,1.7641364e-07,0.3850776,0.006840093,0.64812607,0.011166557
"{'alpha': 0.7004371218578347, 's': 0.10526188266248665, 'num.impute.selected.cpo': 'impute.hist'}",0.75,3.3676625e-07,4.846063e-07,0.3892373,0.0038365624,0.64798933,0.0113207605
"{'alpha': 0.7004371218578347, 's': 0.10526188266248665, 'num.impute.selected.cpo': 'impute.hist'}",1.0,1.7881394e-08,3.576279e-08,0.38349926,0.005259646,0.65104836,0.0063397842
"{'alpha': 0.8441866428504345, 's': 0.11813167832659714, 'num.impute.selected.cpo': 'impute.mean'}",0.05,5.3346156e-07,3.0580435e-07,0.3715369,0.008920832,0.6125884,0.0048949355
"{'alpha': 0.8441866428504345, 's': 0.11813167832659714, 'num.impute.selected.cpo': 'impute.mean'}",0.25,2.0861625e-08,2.3276357e-08,0.3776195,0.005612673,0.62283486,0.010107424
"{'alpha': 0.8441866428504345, 's': 0.11813167832659714, 'num.impute.selected.cpo': 'impute.mean'}",0.5,1.0728836e-07,1.8621085e-07,0.373532,0.0082412725,0.62530714,0.013414267
"{'alpha': 0.8441866428504345, 's': 0.11813167832659714, 'num.impute.selected.cpo': 'impute.mean'}",0.75,2.861023e-07,4.327396e-07,0.38215232,0.0048241657,0.6292038,0.011762223
"{'alpha': 0.8441866428504345, 's': 0.11813167832659714, 'num.impute.selected.cpo': 'impute.mean'}",1.0,1.4901161e-08,2.7476384e-08,0.37092853,0.006401232,0.62835485,0.007278332
"{'alpha': 0.6765143359376254, 's': 0.003429410905614047, 'num.impute.selected.cpo': 'impute.median'}",0.05,8.940697e-09,1.9082798e-08,0.46831822,0.007279359,0.7575011,0.0054039434
"{'alpha': 0.6765143359376254, 's': 0.003429410905614047, 'num.impute.selected.cpo': 'impute.median'}",0.25,0.0,0.0,0.47612685,0.005690728,0.74709237,0.0065823584
"{'alpha': 0.6765143359376254, 's': 0.003429410905614047, 'num.impute.selected.cpo': 'impute.median'}",0.5,0.0,0.0,0.48406273,0.007595597,0.7464498,0.0045413617
"{'alpha': 0.6765143359376254, 's': 0.003429410905614047, 'num.impute.selected.cpo': 'impute.median'}",0.75,0.0,0.0,0.47888175,0.006571867,0.73759854,0.006500537
"{'alpha': 0.6765143359376254, 's': 0.003429410905614047, 'num.impute.selected.cpo': 'impute.median'}",1.0,0.0,0.0,0.474717,0.011149665,0.7572257,0.0054064733
"{'alpha': 0.7278580572480748, 's': 1.757426854637206, 'num.impute.selected.cpo': 'impute.median'}",0.05,1.4901161e-07,8.739757e-08,0.3200268,0.0060968925,0.51082903,0.0037644391
"{'alpha': 0.7278580572480748, 's': 1.757426854637206, 'num.impute.selected.cpo': 'impute.median'}",0.25,6.556511e-08,3.9537248e-08,0.30931073,0.0038795986,0.50269765,0.008629543
"{'alpha': 0.7278580572480748, 's': 1.757426854637206, 'num.impute.selected.cpo': 'impute.median'}",0.5,2.4437904e-07,3.2422955e-07,0.30532792,0.004298797,0.502682,0.010838203
"{'alpha': 0.7278580572480748, 's': 1.757426854637206, 'num.impute.selected.cpo': 'impute.median'}",0.75,5.751848e-07,7.290369e-07,0.30250725,0.006998063,0.49542865,0.008005477
"{'alpha': 0.7278580572480748, 's': 1.757426854637206, 'num.impute.selected.cpo': 'impute.median'}",1.0,1.7881394e-08,3.576279e-08,0.29972133,0.0057850755,0.50640523,0.004072015
"{'alpha': 0.9514579574463393, 's': 0.00471442514647118, 'num.impute.selected.cpo': 'impute.median'}",0.05,5.9604646e-09,1.1920929e-08,0.46852493,0.006842399,0.7563587,0.004948991
"{'alpha': 0.9514579574463393, 's': 0.00471442514647118, 'num.impute.selected.cpo': 'impute.median'}",0.25,0.0,0.0,0.4737382,0.0041596657,0.74268526,0.0067488006
"{'alpha': 0.9514579574463393, 's': 0.00471442514647118, 'num.impute.selected.cpo': 'impute.median'}",0.5,0.0,0.0,0.48211995,0.007394289,0.7421341,0.0062669204
"{'alpha': 0.9514579574463393, 's': 0.00471442514647118, 'num.impute.selected.cpo': 'impute.median'}",0.75,0.0,0.0,0.47683463,0.0050705024,0.73240983,0.007872392
"{'alpha': 0.9514579574463393, 's': 0.00471442514647118, 'num.impute.selected.cpo': 'impute.median'}",1.0,0.0,0.0,0.47124034,0.010579295,0.7482203,0.0036365155
"{'alpha': 0.012703197034767633, 's': 1.1181600691291653, 'num.impute.selected.cpo': 'impute.mean'}",0.05,9.864568e-07,9.07034e-07,0.3896518,0.0076323077,0.6630615,0.009233879
"{'alpha': 0.012703197034767633, 's': 1.1181600691291653, 'num.impute.selected.cpo': 'impute.mean'}",0.25,1.0430813e-07,1.1561611e-07,0.40589777,0.0076903724,0.68773824,0.017095137
"{'alpha': 0.012703197034767633, 's': 1.1181600691291653, 'num.impute.selected.cpo': 'impute.mean'}",0.5,2.5331974e-07,3.6917606e-07,0.3939488,0.006621508,0.6905347,0.013766365
"{'alpha': 0.012703197034767633, 's': 1.1181600691291653, 'num.impute.selected.cpo': 'impute.mean'}",0.75,4.5895575e-07,6.149975e-07,0.39935914,0.004084717,0.68581367,0.008040042
"{'alpha': 0.012703197034767633, 's': 1.1181600691291653, 'num.impute.selected.cpo': 'impute.mean'}",1.0,1.1920929e-08,3.5762785e-08,0.3962496,0.004753784,0.697896,0.0035479392
"{'alpha': 0.41358769878652346, 's': 0.015842774198612544, 'num.impute.selected.cpo': 'impute.hist'}",0.05,6.854534e-08,6.802507e-08,0.45212168,0.009639014,0.742782,0.0032500587
"{'alpha': 0.41358769878652346, 's': 0.015842774198612544, 'num.impute.selected.cpo': 'impute.hist'}",0.25,0.0,0.0,0.4673255,0.0036113274,0.74881613,0.0054860087
"{'alpha': 0.41358769878652346, 's': 0.015842774198612544, 'num.impute.selected.cpo': 'impute.hist'}",0.5,0.0,0.0,0.46770397,0.0056021814,0.74291587,0.0057970393
"{'alpha': 0.41358769878652346, 's': 0.015842774198612544, 'num.impute.selected.cpo': 'impute.hist'}",0.75,3.576279e-08,6.502099e-08,0.46377975,0.0030301816,0.7380682,0.0067937355
"{'alpha': 0.41358769878652346, 's': 0.015842774198612544, 'num.impute.selected.cpo': 'impute.hist'}",1.0,2.9802323e-09,8.940696e-09,0.46106815,0.0088782245,0.75933146,0.0026334904
"{'alpha': 0.04881279380000003, 's': 0.6713668295562348, 'num.impute.selected.cpo': 'impute.median'}",0.05,5.632639e-07,5.6913075e-07,0.40460128,0.003811234,0.6827785,0.0072551356
"{'alpha': 0.04881279380000003, 's': 0.6713668295562348, 'num.impute.selected.cpo': 'impute.median'}",0.25,6.556511e-08,8.40827e-08,0.42162853,0.0085222805,0.7040549,0.016785342
"{'alpha': 0.04881279380000003, 's': 0.6713668295562348, 'num.impute.selected.cpo': 'impute.median'}",0.5,3.3676625e-07,4.8753e-07,0.41690224,0.0052208626,0.70405257,0.012695625
"{'alpha': 0.04881279380000003, 's': 0.6713668295562348, 'num.impute.selected.cpo': 'impute.median'}",0.75,7.987022e-07,9.671577e-07,0.4136037,0.0035831619,0.68775624,0.01182435
"{'alpha': 0.04881279380000003, 's': 0.6713668295562348, 'num.impute.selected.cpo': 'impute.median'}",1.0,2.9802322e-08,6.529362e-08,0.3982294,0.006591991,0.6936351,0.0068458896
"{'alpha': 0.09992856132121142, 's': 0.23486273580401892, 'num.impute.selected.cpo': 'impute.mean'}",0.05,1.1920929e-06,9.27518e-07,0.413732,0.0055049965,0.68665946,0.004983662
