hp_key,train_frac,f1,f1_std,acc,acc_std,auc,auc_std
"{'cost': 55.07756349624877, 'kernel': 'radial', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.0010688655367635522, 'gamma': 6659.16924059112, 'degree': None}",0.05,0.70275444,0.025504721,0.55431426,0.0067726565,0.5354196,0.062021814
"{'cost': 55.07756349624877, 'kernel': 'radial', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.0010688655367635522, 'gamma': 6659.16924059112, 'degree': None}",0.25,0.69666296,0.026212435,0.5651414,0.006758365,0.43023044,0.040229734
"{'cost': 55.07756349624877, 'kernel': 'radial', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.0010688655367635522, 'gamma': 6659.16924059112, 'degree': None}",0.5,0.7267712,0.0032515447,0.5699045,0.0024312579,0.44619316,0.018111596
"{'cost': 55.07756349624877, 'kernel': 'radial', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.0010688655367635522, 'gamma': 6659.16924059112, 'degree': None}",0.75,0.7244612,0.0035201283,0.5680496,0.0026130567,0.4971583,0.017109623
"{'cost': 55.07756349624877, 'kernel': 'radial', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.0010688655367635522, 'gamma': 6659.16924059112, 'degree': None}",1.0,0.726221,0.03654532,0.56339663,0.048144907,0.5287491,0.038581055
"{'cost': 976.2638197510596, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.002846492710999029, 'gamma': None, 'degree': None}",0.05,0.5249934,0.019392705,0.44066754,0.015266147,0.45216188,0.053172518
"{'cost': 976.2638197510596, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.002846492710999029, 'gamma': None, 'degree': None}",0.25,0.70088184,0.014333638,0.6250802,0.01337115,0.6103908,0.03108982
"{'cost': 976.2638197510596, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.002846492710999029, 'gamma': None, 'degree': None}",0.5,0.79021597,0.021318655,0.762843,0.021530967,0.78299916,0.0211515
"{'cost': 976.2638197510596, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.002846492710999029, 'gamma': None, 'degree': None}",0.75,0.7829433,0.024034845,0.76177263,0.026061304,0.8298109,0.025350729
"{'cost': 976.2638197510596, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.002846492710999029, 'gamma': None, 'degree': None}",1.0,0.8339671,0.1347572,0.818123,0.13472022,0.8628298,0.06805704
"{'cost': 34.133752998939045, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.mean', 'tolerance': 0.017256538087515944, 'gamma': None, 'degree': 4}",0.05,0.5081458,0.0106177,0.3912545,0.011291183,0.4102078,0.03324129
"{'cost': 34.133752998939045, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.mean', 'tolerance': 0.017256538087515944, 'gamma': None, 'degree': 4}",0.25,0.5867545,0.022105629,0.46789297,0.010332557,0.44331115,0.013746838
"{'cost': 34.133752998939045, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.mean', 'tolerance': 0.017256538087515944, 'gamma': None, 'degree': 4}",0.5,0.73583513,0.014985057,0.65677696,0.014556567,0.69350743,0.021194093
"{'cost': 34.133752998939045, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.mean', 'tolerance': 0.017256538087515944, 'gamma': None, 'degree': 4}",0.75,0.7781089,0.01757912,0.7274305,0.019915707,0.81277895,0.023529982
"{'cost': 34.133752998939045, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.mean', 'tolerance': 0.017256538087515944, 'gamma': None, 'degree': 4}",1.0,0.76025665,0.14599329,0.7384331,0.13399437,0.8334448,0.067732036
"{'cost': 95.3125169808543, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.4821319351837825, 'gamma': None, 'degree': 4}",0.05,0.54244834,0.011335282,0.40205836,0.015622501,0.36102423,0.0437948
"{'cost': 95.3125169808543, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.4821319351837825, 'gamma': None, 'degree': 4}",0.25,0.6021902,0.018083401,0.47530156,0.0071152383,0.40452272,0.043748207
"{'cost': 95.3125169808543, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.4821319351837825, 'gamma': None, 'degree': 4}",0.5,0.74398816,0.013990754,0.6714571,0.013234745,0.6559115,0.027630456
"{'cost': 95.3125169808543, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.4821319351837825, 'gamma': None, 'degree': 4}",0.75,0.7757146,0.017030308,0.7239804,0.01907954,0.78343016,0.03246985
"{'cost': 95.3125169808543, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.4821319351837825, 'gamma': None, 'degree': 4}",1.0,0.75508463,0.1436103,0.72517854,0.12929952,0.80120116,0.06800785
"{'cost': 8342.841534769126, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.mean', 'tolerance': 0.01597864300766233, 'gamma': None, 'degree': 5}",0.05,0.5424415,0.016491247,0.4012838,0.010166621,0.4508814,0.034048848
"{'cost': 8342.841534769126, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.mean', 'tolerance': 0.01597864300766233, 'gamma': None, 'degree': 5}",0.25,0.59341645,0.010554854,0.4544763,0.0059999432,0.32703257,0.0255468
"{'cost': 8342.841534769126, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.mean', 'tolerance': 0.01597864300766233, 'gamma': None, 'degree': 5}",0.5,0.711586,0.013346952,0.6060325,0.0109949885,0.60730994,0.016867885
"{'cost': 8342.841534769126, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.mean', 'tolerance': 0.01597864300766233, 'gamma': None, 'degree': 5}",0.75,0.75893867,0.019141737,0.6961945,0.020034228,0.78362405,0.020630263
"{'cost': 8342.841534769126, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.mean', 'tolerance': 0.01597864300766233, 'gamma': None, 'degree': 5}",1.0,0.740008,0.15228963,0.71723276,0.1378517,0.83531725,0.07880068
"{'cost': 5.853205182597934e-05, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.0031106964923895484, 'gamma': None, 'degree': None}",0.05,0.44382414,0.0460728,0.4613158,0.012318547,0.3338721,0.063904636
"{'cost': 5.853205182597934e-05, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.0031106964923895484, 'gamma': None, 'degree': None}",0.25,0.6518797,0.020947203,0.5752766,0.015628953,0.5220388,0.015032858
"{'cost': 5.853205182597934e-05, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.0031106964923895484, 'gamma': None, 'degree': None}",0.5,0.75397414,0.022120396,0.7155529,0.0175267,0.76787364,0.019232778
"{'cost': 5.853205182597934e-05, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.0031106964923895484, 'gamma': None, 'degree': None}",0.75,0.75684583,0.021926677,0.72523546,0.023321202,0.78556794,0.03818791
"{'cost': 5.853205182597934e-05, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.0031106964923895484, 'gamma': None, 'degree': None}",1.0,0.73269576,0.13754666,0.69721663,0.12375537,0.6334483,0.0816467
"{'cost': 0.177595635383478, 'kernel': 'radial', 'num.impute.selected.cpo': 'impute.mean', 'tolerance': 0.0025721671609471963, 'gamma': 0.010137750901387103, 'degree': None}",0.05,0.45578533,0.12840952,0.4928523,0.014559073,0.47363767,0.044502303
"{'cost': 0.177595635383478, 'kernel': 'radial', 'num.impute.selected.cpo': 'impute.mean', 'tolerance': 0.0025721671609471963, 'gamma': 0.010137750901387103, 'degree': None}",0.25,0.5026256,0.016013328,0.52793294,0.0066201007,0.46987677,0.0304332
"{'cost': 0.177595635383478, 'kernel': 'radial', 'num.impute.selected.cpo': 'impute.mean', 'tolerance': 0.0025721671609471963, 'gamma': 0.010137750901387103, 'degree': None}",0.5,0.6369997,0.016555954,0.53903484,0.002730755,0.43297252,0.023771284
"{'cost': 0.177595635383478, 'kernel': 'radial', 'num.impute.selected.cpo': 'impute.mean', 'tolerance': 0.0025721671609471963, 'gamma': 0.010137750901387103, 'degree': None}",0.75,0.6882928,0.014917334,0.55156547,0.0031999974,0.50225955,0.02520735
"{'cost': 0.177595635383478, 'kernel': 'radial', 'num.impute.selected.cpo': 'impute.mean', 'tolerance': 0.0025721671609471963, 'gamma': 0.010137750901387103, 'degree': None}",1.0,0.70732343,0.038018666,0.55886704,0.045051955,0.53910714,0.062457677
"{'cost': 0.00012051406088484781, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 8.564692001495894e-05, 'gamma': None, 'degree': 2}",0.05,0.30067644,0.10150512,0.45021683,0.02642948,0.30694455,0.047248296
"{'cost': 0.00012051406088484781, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 8.564692001495894e-05, 'gamma': None, 'degree': 2}",0.25,0.3573971,0.05482703,0.48727092,0.0056841103,0.33720368,0.025383998
"{'cost': 0.00012051406088484781, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 8.564692001495894e-05, 'gamma': None, 'degree': 2}",0.5,0.54542416,0.02744341,0.5465836,0.003570056,0.4324468,0.029611396
"{'cost': 0.00012051406088484781, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 8.564692001495894e-05, 'gamma': None, 'degree': 2}",0.75,0.6375263,0.02362906,0.59042776,0.011232093,0.48231012,0.071169496
"{'cost': 0.00012051406088484781, 'kernel': 'polynomial', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 8.564692001495894e-05, 'gamma': None, 'degree': 2}",1.0,0.68794227,0.08491871,0.62753165,0.06773248,0.3782823,0.22070058
"{'cost': 0.0003349836700067771, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.11826318709982493, 'gamma': None, 'degree': None}",0.05,0.47390693,0.03067844,0.44840154,0.014172509,0.37390158,0.05064271
"{'cost': 0.0003349836700067771, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.11826318709982493, 'gamma': None, 'degree': None}",0.25,0.68829405,0.016176967,0.59143037,0.014324349,0.5558759,0.015109517
"{'cost': 0.0003349836700067771, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.11826318709982493, 'gamma': None, 'degree': None}",0.5,0.7718171,0.019360159,0.73123205,0.01912536,0.77199733,0.016511532
"{'cost': 0.0003349836700067771, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.11826318709982493, 'gamma': None, 'degree': None}",0.75,0.77466214,0.02203412,0.7428652,0.024367351,0.78909534,0.03994134
"{'cost': 0.0003349836700067771, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.median', 'tolerance': 0.11826318709982493, 'gamma': None, 'degree': None}",1.0,0.7893808,0.13710758,0.7746916,0.12609088,0.7779378,0.07091776
"{'cost': 1.175068114073401, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.hist', 'tolerance': 0.001133057792077138, 'gamma': None, 'degree': None}",0.05,0.5212173,0.017749356,0.43759805,0.015210528,0.45706502,0.041904617
"{'cost': 1.175068114073401, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.hist', 'tolerance': 0.001133057792077138, 'gamma': None, 'degree': None}",0.25,0.7067046,0.016916031,0.6264194,0.015216672,0.59906495,0.03052439
"{'cost': 1.175068114073401, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.hist', 'tolerance': 0.001133057792077138, 'gamma': None, 'degree': None}",0.5,0.7887529,0.019174969,0.75519633,0.019015316,0.7770132,0.023357239
"{'cost': 1.175068114073401, 'kernel': 'linear', 'num.impute.selected.cpo': 'impute.hist', 'tolerance': 0.001133057792077138, 'gamma': None, 'degree': None}",0.75,0.785653,0.022545813,0.7637088,0.023106106,0.82437164,0.026958603
